# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov 11 07:45:11 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2
HD 4760 b,HD 4760,1,1,2021,0,434.00000000,3.00000000,-3.00000000,0,1.140000,0.080000,-0.080000,0,4417.83700,762.79200,-762.79200,0,0.230000,0.090000,-0.060000,0,,,,,,,,,K2,4076.00,15.00,-15.00,0,42.40,9.20,-9.20,0,1.05,0.19,-0.19,0,1.62,0.08,-0.08,0,537.8730000,20.1550000,-20.1550000
HD 48265 b,HD 48265,1,1,2008,0,778.51000000,5.38000000,-5.18000000,0,1.814000,0.030000,-0.031000,0,484.69075,15.57367,-15.89150,0,0.211000,0.089000,-0.096000,0,,,,,,,,,G5 IV/V,5733.00,55.00,-55.00,0,1.90,0.13,-0.13,0,1.31,0.06,-0.06,0,3.97,0.05,-0.05,0,90.5446000,0.2702000,-0.2687000
HD 4917 b,HD 4917,1,1,2018,0,400.50000000,1.70000000,-1.70000000,0,1.167000,0.065000,-0.065000,0,513.29545,29.24036,-29.24036,0,0.066000,0.041000,-0.041000,0,,,,,,,,,K0 III/IV,4802.00,,,0,5.01,,,0,1.32,,,0,2.97,,,0,204.2770000,2.4745000,-2.4745000
HD 49674 b,HD 49674,1,1,2002,0,4.94737000,0.00098000,-0.00098000,0,0.060000,0.000000,0.000000,0,31.78300,3.17830,-3.17830,0,0.090000,0.090000,-0.090000,0,,,,,,,,,G5 V,5602.00,21.00,-21.00,0,1.02,0.01,-0.01,0,1.03,0.11,-0.11,0,4.44,0.04,-0.04,0,43.0399000,0.0769000,-0.0766000
HD 50499 b,HD 50499,1,2,2005,0,2447.10000000,21.92000000,-21.72000000,0,3.833000,0.030500,-0.030000,0,519.96988,5.40311,-5.40311,0,0.266000,0.044000,-0.044000,0,,,,,,,,,G1 V,6102.00,54.00,-54.00,0,1.35,0.05,-0.05,0,1.25,0.02,-0.02,0,4.25,0.03,-0.03,0,46.2845000,0.0557000,-0.0555000
HD 50499 c,HD 50499,1,2,2019,0,8619.90000000,2622.49500000,-405.42750000,0,9.020000,1.730000,-0.330000,0,931.24190,232.01590,-57.20940,0,0.000000,0.140000,-0.020000,0,,,,,,,,,G1 V,6099.00,43.00,-43.00,0,1.42,0.02,-0.02,0,1.31,0.07,-0.07,0,4.42,0.05,-0.05,0,46.2845000,0.0557000,-0.0555000
HD 50554 b,HD 50554,1,1,2002,0,1293.00000000,37.00000000,-37.00000000,0,2.353000,0.045200,-0.045200,0,1574.46400,123.63100,-123.63100,0,0.501000,0.030000,-0.030000,0,,,,,,,,,F8 V,5987.00,70.00,-70.00,0,1.02,0.02,-0.02,0,1.04,0.01,-0.01,0,4.33,0.03,-0.03,0,31.1664000,0.0556000,-0.0554000
HD 51608 b,HD 51608,1,2,2019,0,14.07260000,0.00160000,-0.00160000,0,0.105900,0.004300,-0.004600,0,12.77000,1.20000,-1.19000,0,0.090000,0.040000,-0.040000,0,,,,,,,,,G7 V,5358.00,22.00,-22.00,0,0.92,0.02,-0.06,0,0.80,,,0,4.36,0.05,-0.05,0,35.0553000,0.0333000,-0.0331000
HD 51608 c,HD 51608,1,2,2019,0,95.94460000,0.15550000,-0.13660000,0,0.380900,0.015300,-0.016400,0,14.31000,1.63000,-1.53000,0,0.140000,0.070000,-0.070000,0,,,,,,,,,G7 V,5358.00,22.00,-22.00,0,0.92,0.02,-0.06,0,0.80,,,0,4.36,0.05,-0.05,0,35.0553000,0.0333000,-0.0331000
HD 52265 b,HD 52265,1,1,2000,0,119.27000000,0.02000000,-0.02000000,0,0.520000,0.009000,-0.009000,0,384.57430,15.89150,-15.89150,0,0.270000,0.020000,-0.020000,0,,,,,405,75,-75,0,G0V,6136.00,,,0,1.32,0.02,-0.02,0,1.20,,,0,4.36,,,0,29.9803000,0.0424000,-0.0423000
HD 5278 b,HD 5278,1,2,2021,0,14.33915600,0.00004900,-0.00004700,0,0.120200,0.001300,-0.001300,0,7.80000,1.50000,-1.40000,0,0.080000,0.090000,-0.050000,0,132.00,5.00,-5.00,0,943,13,-13,0,F V,6203.00,64.00,-64.00,0,1.19,0.02,-0.02,0,1.13,0.04,-0.04,0,4.50,0.11,-0.11,0,57.5846000,0.0947000,-0.0943000
HD 5278 c,HD 5278,1,2,2021,0,40.87000000,0.18000000,-0.17000000,0,0.241600,0.002700,-0.002700,0,18.40000,1.80000,-1.90000,0,0.070000,0.080000,-0.040000,0,,,,,,,,,F V,6203.00,64.00,-64.00,0,1.19,0.02,-0.02,0,1.13,0.04,-0.04,0,4.50,0.11,-0.11,0,57.5846000,0.0947000,-0.0943000
HD 5319 b,HD 5319,1,2,2007,0,637.10000000,1.40000000,-1.40000000,0,1.570000,0.110000,-0.110000,0,494.54348,13.34886,-13.34886,0,0.092000,0.025000,-0.025000,0,,,,,,,,,G5,4871.00,,,0,4.06,,,0,1.27,,,0,3.26,,,0,121.4050000,0.7075000,-0.7075000
HD 5319 c,HD 5319,1,2,2014,0,872.20000000,6.00000000,-6.00000000,0,1.930000,0.130000,-0.130000,0,334.67499,22.88376,-22.88376,0,0.183000,0.064000,-0.064000,0,,,,,,,,,G5,4871.00,,,0,4.06,,,0,1.27,,,0,3.26,,,0,121.4050000,0.7075000,-0.7075000
HD 55696 b,HD 55696,1,1,2018,0,1827.00000000,10.00000000,-10.00000000,0,3.180000,0.180000,-0.180000,0,1230.00210,228.83760,-228.83760,0,0.705000,0.022000,-0.022000,0,,,,,,,,,G0 V,6012.00,,,0,1.52,0.07,-0.07,0,1.29,0.20,-0.20,0,4.03,0.09,-0.06,0,77.9693000,0.1836000,-0.1827000
HD 5583 b,HD 5583,1,1,2016,0,139.35000000,0.21000000,-0.22000000,0,0.530000,0.020000,-0.020000,0,1837.05740,168.44990,-168.44990,0,0.076000,0.070000,-0.023000,0,,,,,,,,,,4830.00,45.00,-45.00,0,9.09,1.50,-1.50,0,1.01,0.10,-0.10,0,2.53,0.14,-0.14,0,219.2160000,3.4830000,-3.3780000
HD 5608 b,HD 5608,1,1,2012,0,779.90000000,4.90000000,-4.90000000,0,1.911000,0.088000,-0.088000,0,534.27223,25.74423,-25.74423,0,0.056000,0.039000,-0.039000,0,,,,,,,,,K0,4877.00,,,0,5.14,,,0,1.53,,,0,3.19,,,0,58.1105000,0.2209000,-0.2209000
HD 564 b,HD 564,1,1,2014,0,492.30000000,2.30000000,-2.30000000,0,1.200000,0.020000,-0.020000,0,104.88000,9.54000,-9.54000,0,0.096000,0.067000,-0.067000,0,,,,,,,,,G2/G3 V,5902.00,61.00,-61.00,0,1.01,0.05,-0.05,0,0.96,0.05,-0.05,0,4.53,0.10,-0.10,0,51.1659000,0.0941000,-0.0937000
HD 56414 b,HD 56414,1,1,2022,0,29.04992000,0.00021000,-0.00021000,0,0.229000,0.004000,-0.004000,0,13.30000,,,0,0.680000,,,1,273.43,,,0,1133,30,-30,0,,8500.00,150.00,-150.00,0,1.75,0.07,-0.07,0,1.89,0.11,-0.11,0,4.26,0.38,-0.38,0,272.2170000,2.2070000,-2.1730000
HD 56957 b,HD 56957,1,1,2022,0,5859.08992400,2325.96289388,-959.68303546,0,6.431189,1.558837,-0.872233,0,1893.34292,902.73324,-1291.77449,0,0.272564,0.178326,-0.136257,0,,,,,,,,,,5743.00,145.26,-67.71,0,1.78,0.06,-0.09,0,1.03,0.13,-0.13,0,3.95,0.07,-0.08,0,61.4925000,0.0942000,-0.0938000
HD 5891 b,HD 5891,1,1,2011,0,177.11000000,0.32000000,-0.32000000,0,0.640000,0.040000,-0.040000,0,2425.04290,454.49690,-454.49690,0,0.070000,0.020000,-0.020000,0,,,,,,,,,G5,4673.00,123.00,-123.00,0,10.64,0.99,-0.99,0,1.93,0.54,-0.54,0,2.67,0.09,-0.09,0,283.5020000,4.8630000,-4.8630000
HD 59686 A b,HD 59686 A,2,1,2016,0,299.36000000,0.26000000,-0.31000000,0,1.086000,0.000600,-0.000700,0,2199.38360,57.20940,-76.27920,0,0.050000,0.030000,-0.020000,0,,,,,,,,,K2 III,4658.00,24.00,-24.00,0,13.20,0.30,-0.30,0,1.90,0.20,-0.20,0,2.49,0.05,-0.05,0,89.2721000,0.7315500,-0.7315500
HD 60292 b,HD 60292,1,1,2020,0,495.40000000,3.00000000,-3.00000000,0,1.500000,0.100000,-0.100000,0,2065.89500,317.83000,-317.83000,0,0.270000,0.100000,-0.100000,0,,,,,,,,,K0 III,4348.00,28.00,-28.00,0,27.00,1.50,-1.50,0,1.70,0.20,-0.20,0,1.90,0.10,-0.10,0,315.2110000,3.1480000,-3.0870000
HD 60532 b,HD 60532,1,2,2008,0,201.90000000,0.30000000,-0.30000000,0,0.770000,0.020000,-0.020000,0,336.89980,25.42640,-25.42640,0,0.260000,0.020000,-0.020000,0,,,,,,,,,F6 IV,6245.00,80.00,-80.00,0,2.57,0.12,-0.12,0,1.50,0.09,-0.09,0,3.80,0.07,-0.07,0,25.9716000,0.1577000,-0.1558000
HD 60532 c,HD 60532,1,2,2008,0,600.10000000,2.40000000,-2.40000000,0,1.600000,0.040000,-0.040000,0,797.75330,50.85280,-50.85280,0,0.030000,0.020000,-0.020000,0,,,,,,,,,F6 IV,6245.00,80.00,-80.00,0,2.57,0.12,-0.12,0,1.50,0.09,-0.09,0,3.80,0.07,-0.07,0,25.9716000,0.1577000,-0.1558000
HD 62364 b,HD 62364,1,2,2022,0,27399.80246717,3572.02776093,-1614.42398862,0,18.992328,1.488619,-1.198456,0,5538.75835,517.67505,-526.09851,0,0.863248,0.012365,-0.008096,0,,,,,,,,,,6201.51,95.76,-127.85,0,1.44,0.06,-0.06,0,1.19,0.16,-0.16,0,4.20,0.08,-0.07,0,53.1120000,0.0743000,-0.0741000
HD 62364 c,HD 62364,1,2,2022,0,74839.94554588,8275.85573349,-6864.79047325,0,36.876426,3.064046,-2.685808,0,7882.56267,893.04699,-887.82046,0,0.772792,0.009264,-0.009259,0,,,,,,,,,,6201.51,95.76,-127.85,0,1.44,0.06,-0.06,0,1.19,0.16,-0.16,0,4.20,0.08,-0.07,0,53.1120000,0.0743000,-0.0741000
HD 62509 b,HD 62509,1,1,2006,0,589.64000000,0.81000000,-0.81000000,0,1.640000,0.270000,-0.270000,0,731.00000,140.00000,-140.00000,0,0.020000,0.030000,-0.030000,0,,,,,,,,,K0IIIvar,4892.63,10.22,-10.22,0,8.90,0.40,-0.40,0,2.00,0.10,0.00,0,2.78,0.07,-0.07,0,10.3400000,0.0900000,-0.0900000
HD 62549 b,HD 62549,1,1,2022,0,14306.88518780,3762.35333676,-3219.89898897,0,11.786592,2.201473,-1.923349,0,2773.33249,599.64534,-396.37025,0,0.150429,0.130417,-0.098749,0,,,,,,,,,,5930.46,99.83,-126.50,0,1.23,0.06,-0.04,0,1.08,0.13,-0.13,0,4.29,0.09,-0.06,0,49.3305000,0.1192000,-0.1186000
HD 63433 b,HD 63433,1,2,2020,0,7.10793000,0.00040000,-0.00034000,0,0.071900,0.003100,-0.004400,0,5.27000,,,0,0.000000,,,0,132.13,,,0,944,,,0,G5IV,5640.00,74.00,-74.00,0,0.91,0.03,-0.03,0,0.99,0.03,-0.03,0,4.53,0.09,-0.09,0,22.4035000,0.0225000,-0.0225000
HD 63433 c,HD 63433,1,2,2020,0,20.54530000,0.00120000,-0.00130000,0,0.145800,0.006200,-0.010100,0,7.61000,,,0,0.000000,,,0,35.36,,,0,622,,,0,G5IV,5640.00,74.00,-74.00,0,0.91,0.03,-0.03,0,0.99,0.03,-0.03,0,4.53,0.09,-0.09,0,22.4035000,0.0225000,-0.0225000
HD 63454 b,HD 63454,1,1,2005,0,2.81805000,0.00007100,-0.00007100,0,0.040000,0.000000,0.000000,0,79.45750,3.17830,-3.17830,0,0.000000,,,0,,,,,,,,,K4 V,4812.00,28.00,-28.00,0,0.77,0.01,-0.01,0,0.42,0.03,-0.03,0,4.28,0.03,-0.03,0,37.6894000,0.0280000,-0.0280000
HD 63765 b,HD 63765,1,1,2009,0,358.00000000,1.00000000,-1.00000000,0,0.940000,0.020000,-0.020000,0,168.44990,9.53490,-9.53490,0,0.240000,0.040000,-0.040000,0,,,,,,,,,G9 V,5449.00,11.00,-11.00,0,0.83,0.01,-0.01,0,0.65,0.01,-0.01,0,4.41,0.00,0.00,0,32.5376000,0.0328000,-0.0328000
HD 63935 b,HD 63935,1,2,2021,0,9.05881100,0.00001700,-0.00001600,0,,,,,10.80000,1.80000,-1.80000,0,0.000000,,,0,115.60,4.60,-4.60,0,911,27,-27,0,,5534.00,100.00,-100.00,0,0.96,0.04,-0.04,0,0.93,0.05,-0.05,0,4.38,0.10,-0.10,0,48.9739000,0.1057000,-0.1053000
HD 63935 c,HD 63935,1,2,2021,0,21.40230000,0.00189000,-0.00194000,0,,,,,11.10000,2.40000,-2.40000,0,0.000000,,,0,36.70,1.40,-1.40,0,684,21,-21,0,,5534.00,100.00,-100.00,0,0.96,0.04,-0.04,0,0.93,0.05,-0.05,0,4.38,0.10,-0.10,0,48.9739000,0.1057000,-0.1053000
HD 64114 b,HD 64114,1,1,2019,0,45.79100000,0.07000000,-0.07000000,0,0.246000,0.005000,-0.005000,0,17.80000,3.50000,-3.50000,0,0.120000,0.080000,-0.080000,0,,,,,,,,,G7 V,5676.00,32.00,-87.00,0,0.88,0.03,-0.01,0,0.95,0.05,-0.05,0,4.52,0.07,-0.07,0,31.5262000,0.0410000,-0.0409000
HD 64121 b,HD 64121,1,1,2022,0,623.00000000,3.40000000,-3.40000000,0,1.510000,0.006000,-0.006000,0,813.64072,60.38740,-60.38740,0,0.110000,0.070000,-0.070000,0,,,,,,,,,G8/K0 III,5078.00,22.00,-22.00,0,5.44,0.07,-0.07,0,1.64,0.06,-0.06,0,3.19,0.06,-0.06,0,129.9660000,0.4870000,-0.4870000
HD 6434 b,HD 6434,1,1,2003,0,21.99800000,0.00900000,-0.00900000,0,0.140000,0.000000,0.000000,0,155.73670,12.71320,-12.71320,0,0.170000,0.030000,-0.030000,0,,,,,,,,,G2/3 V,5769.00,14.00,-14.00,0,1.12,0.01,-0.01,0,1.10,0.13,-0.13,0,4.38,0.05,-0.05,0,42.3580000,0.0756000,-0.0752000
HD 65216 b,HD 65216,3,2,2003,0,577.60000000,1.32800000,-1.32800000,0,1.301000,0.020000,-0.020000,0,411.58985,19.70546,-19.70546,0,0.270000,0.020000,-0.020000,0,,,,,,,,,G5 V,5612.00,,,0,0.88,0.01,-0.01,0,0.87,,,0,4.44,,,0,35.1205000,0.0395000,-0.0394000
HD 65216 c,HD 65216,3,2,2013,0,5370.00000000,20.00000000,-20.00000000,0,5.750000,0.090000,-0.090000,0,645.19490,34.96130,-34.96130,0,0.170000,0.040000,-0.040000,0,,,,,,,,,G5 V,5612.00,,,0,0.89,0.06,-0.04,0,0.87,,,0,4.44,,,0,35.1205000,0.0395000,-0.0394000
HD 66141 b,HD 66141,1,1,2012,0,480.50000000,0.50000000,-0.50000000,0,1.200000,0.100000,-0.100000,0,1906.90000,95.30000,-95.30000,0,0.070000,0.030000,-0.030000,0,,,,,,,,,K2 III,4323.00,15.00,-15.00,0,21.40,0.60,-0.60,0,1.10,0.10,-0.10,0,1.78,0.04,-0.04,0,68.1509000,2.1134500,-2.1134500
HD 66428 b,HD 66428,1,2,2005,0,2269.81725722,5.36610638,-5.85401150,0,3.392910,0.143074,-0.154723,0,3426.60694,828.61812,-1169.58929,0,0.470522,0.011591,-0.011565,0,,,,,,,,,G8 IV (+ G),5716.00,20.00,-20.00,0,1.13,0.02,-0.02,0,1.01,0.13,-0.13,0,4.33,0.03,-0.03,0,53.2817000,0.2180000,-0.2162000
HD 66428 c,HD 66428,1,2,2021,0,10478.84436542,3362.50247787,-1953.18726553,0,9.418207,1.934795,-1.277289,0,768.28680,105.91322,-547.42818,0,0.207329,0.096607,-0.098008,0,,,,,,,,,G8 IV (+ G),5647.60,94.33,-94.33,0,1.17,0.03,-0.03,0,1.01,0.13,-0.13,0,4.32,0.03,-0.03,0,53.2817000,0.2180000,-0.2162000
HD 67087 b,HD 67087,1,2,2015,0,352.20000000,1.70000000,-1.60000000,0,1.080000,0.040000,-0.040000,0,973.00000,70.00000,-64.00000,0,0.170000,0.070000,-0.070000,0,,,,,,,,,F8 V,6330.00,47.00,-47.00,0,1.55,0.32,-0.32,0,1.36,0.04,-0.04,0,4.19,0.06,-0.06,0,76.5217000,0.3315000,-0.3287000
HD 67087 c,HD 67087,1,2,2015,0,2374.00000000,193.00000000,-156.00000000,0,3.860000,0.430000,-0.370000,0,1540.00000,3180.00000,-1150.00000,0,0.760000,0.170000,-0.240000,0,,,,,,,,,F8 V,6330.00,47.00,-47.00,0,1.55,0.32,-0.32,0,1.36,0.04,-0.04,0,4.19,0.06,-0.06,0,76.5217000,0.3315000,-0.3287000
HD 6718 b,HD 6718,1,1,2009,0,2496.00000000,180.00000000,-180.00000000,0,3.550000,0.180000,-0.180000,0,533.95440,76.27920,-76.27920,0,0.100000,0.080000,-0.080000,0,,,,,,,,,G5 V,5801.00,41.00,-41.00,0,0.95,0.02,-0.02,0,1.08,0.21,-0.21,0,4.51,0.08,-0.08,0,51.3444000,0.1393000,-0.1385000
HD 68402 b,HD 68402,1,1,2016,0,1103.00000000,33.00000000,-33.00000000,0,2.180000,0.090000,-0.090000,0,975.73810,111.24050,-111.24050,0,0.030000,0.060000,-0.060000,0,,,,,,,,,G5 IV/V,5950.00,100.00,-100.00,0,1.02,0.05,-0.05,0,1.12,0.05,-0.05,0,4.47,0.05,-0.05,0,78.4293000,0.0963000,-0.0962000
HD 68988 b,HD 68988,1,2,2001,0,6.27711000,0.00021000,-0.00021000,0,0.070000,0.000000,0.000000,0,626.12510,31.78300,-31.78300,0,0.120000,0.010000,-0.010000,0,,,,,,,,,G2 V,5932.00,23.00,-23.00,0,1.19,0.02,-0.02,0,1.28,0.09,-0.09,0,4.40,0.03,-0.03,0,60.8447000,0.1918000,-0.1906000
HD 68988 c,HD 68988,1,2,2021,0,16000.00000000,11000.00000000,-3500.00000000,0,13.200000,5.300000,-2.000000,0,4767.42610,889.91954,-476.74261,0,0.450000,0.130000,-0.081000,0,,,,,,,,,G2 V,5883.41,103.85,-103.85,0,1.26,0.03,-0.03,0,1.17,0.05,-0.05,0,4.31,0.03,-0.03,0,60.8447000,0.1918000,-0.1906000
HD 69123 b,HD 69123,1,1,2022,0,1193.30000000,7.00000000,-7.00000000,0,2.482000,0.010000,-0.010000,0,966.19836,50.85255,-50.85255,0,0.190000,0.060000,-0.060000,0,,,,,,,,,K1 III,4842.00,41.00,-41.00,0,7.72,0.15,-0.15,0,1.68,0.09,-0.09,0,2.86,0.11,-0.11,0,75.1160000,0.3524500,-0.3524500
HD 69830 b,HD 69830,1,3,2006,0,8.66700000,0.00300000,-0.00300000,0,0.078500,,,0,10.20000,,,0,0.100000,0.040000,-0.040000,0,,,,,,,,,K0V,5385.00,20.00,-20.00,0,0.89,0.02,-0.02,0,0.86,0.03,-0.03,0,4.49,0.03,-0.03,0,12.5591000,0.0097000,-0.0096000
HD 69830 c,HD 69830,1,3,2006,0,31.56000000,0.04000000,-0.04000000,0,0.186000,,,0,11.80000,,,0,0.130000,0.060000,-0.060000,0,,,,,,,,,K0V,5385.00,20.00,-20.00,0,0.89,0.02,-0.02,0,0.86,0.03,-0.03,0,4.49,0.03,-0.03,0,12.5591000,0.0097000,-0.0096000
HD 69830 d,HD 69830,1,3,2006,0,197.00000000,3.00000000,-3.00000000,0,0.630000,,,0,18.10000,,,0,0.070000,0.070000,-0.070000,0,,,,,,,,,K0V,5385.00,20.00,-20.00,0,0.89,0.02,-0.02,0,0.86,0.03,-0.03,0,4.49,0.03,-0.03,0,12.5591000,0.0097000,-0.0096000
HD 70573 b,HD 70573,1,1,2007,0,851.80000000,11.60000000,-11.60000000,0,1.760000,0.050000,-0.050000,0,1900.00000,130.00000,-130.00000,0,0.400000,0.100000,-0.100000,0,,,,,,,,,G1-1.5 V,5737.00,70.00,-70.00,0,0.98,0.02,-0.03,0,1.00,0.10,-0.10,0,4.59,0.10,-0.10,0,59.1820000,0.1565000,-0.1558000
HD 70642 b,HD 70642,1,1,2003,0,2124.54000000,14.65000000,-13.51000000,0,3.318000,0.022000,-0.021000,0,633.43519,5.72094,-5.72094,0,0.175000,0.044000,-0.044000,0,,,,,,,,,G5,5732.00,23.00,-23.00,0,0.98,0.02,-0.02,0,1.08,0.01,-0.01,0,4.46,0.02,-0.02,0,29.2760000,0.0276000,-0.0275000
HD 7199 b,HD 7199,1,1,2011,0,615.00000000,7.00000000,-7.00000000,0,1.360000,0.020000,-0.020000,0,85.81410,9.53490,-9.53490,0,0.190000,0.160000,-0.160000,0,,,,,,,,,K1 IV,5371.00,28.00,-28.00,0,0.97,0.02,-0.02,0,0.77,0.09,-0.09,0,4.35,0.05,-0.05,0,36.1531000,0.0364000,-0.0364000
HD 72490 b,HD 72490,1,1,2018,0,858.00000000,12.00000000,-12.00000000,0,1.880000,0.210000,-0.210000,0,561.92344,25.42640,-25.42640,0,0.124000,0.046000,-0.046000,0,,,,,,,,,G5,4934.00,,,0,4.96,,,0,1.21,,,0,3.21,,,0,126.3390000,1.0915000,-1.0915000
HD 72659 b,HD 72659,1,2,2002,0,3549.39853518,18.95928835,-15.59602648,0,4.689125,0.186869,-0.200251,0,1071.53588,700.08795,-152.91331,0,0.257128,0.013833,-0.015969,0,,,,,,,,,G2 V,5932.00,19.00,-19.00,0,1.46,0.02,-0.02,0,1.09,0.13,-0.13,0,4.09,0.03,-0.03,0,51.8949000,0.1451000,-0.1442000
HD 72659 c,HD 72659,1,2,2022,0,18207.72098165,1389.93101262,-1200.41907216,0,13.940621,0.902280,-0.842857,0,5948.05833,1440.81431,-1495.18843,0,0.091341,0.054778,-0.048334,0,,,,,,,,,G2 V,5932.00,19.00,-19.00,0,1.46,0.02,-0.02,0,1.09,0.13,-0.13,0,4.09,0.03,-0.03,0,51.8949000,0.1451000,-0.1442000
HD 72892 b,HD 72892,1,1,2016,0,39.44603442,0.00168357,-0.00145169,0,0.227825,0.009310,-0.010023,0,1736.44828,145.02341,-149.50399,0,0.418755,0.002828,-0.003191,0,,,,,,,,,G5 V,5688.00,100.00,-100.00,0,1.22,0.06,-0.06,0,1.01,0.13,-0.13,0,4.27,0.05,-0.05,0,69.7311000,0.1871000,-0.1862000
HD 73267 b,HD 73267,1,2,2008,0,1257.99159045,0.50697407,-0.60358257,0,2.227469,0.091711,-0.098634,0,1325.38828,212.59036,-168.76057,0,0.261289,0.003771,-0.004342,0,,,,,,,,,G5 V,5387.00,10.00,-10.00,0,0.91,0.03,-0.03,0,0.93,0.12,-0.12,0,4.45,0.04,-0.04,0,50.4093000,0.0729000,-0.0726000
HD 73267 c,HD 73267,1,2,2022,0,17071.78044733,785.40420913,-1087.38232443,0,12.621165,0.697511,-0.745904,0,1716.49961,204.05166,-175.25838,0,0.089366,0.022963,-0.022014,0,,,,,,,,,G5 V,5387.00,10.00,-10.00,0,0.96,0.02,-0.03,0,0.93,0.12,-0.12,0,4.45,0.04,-0.04,0,50.4093000,0.0729000,-0.0726000
HD 73526 b,HD 73526,1,2,2002,0,188.30000000,0.90000000,-0.90000000,0,0.650000,0.010000,-0.010000,0,978.91640,98.52730,-98.52730,0,0.190000,0.050000,-0.050000,0,,,,,,,,,G6 V,5601.00,24.00,-24.00,0,1.53,0.03,-0.03,0,1.14,0.15,-0.15,0,4.12,0.05,-0.05,0,97.2396000,0.3235000,-0.3214000
